customer_id,customer_name,customer_type,primary_state,region,account_manager,credit_terms,customer_since,credit_limit,rfm_segment,churn_probability
CUST0001,Sanchez-Kennedy,National Retail Chain,KY,Southeast,Crystal Robinson,Net 45,2021-05-04,100000,,
CUST0002,Davis Ltd,Regional Warehouse Distributor,UT,Southwest,Philip Cannon,Net 60,2021-09-30,500000,,
CUST0003,Henderson-Owens,Independent Jobber,IA,Midwest,Philip Cannon,Net 30,2015-05-03,50000,,
CUST0004,Valdez Lucas and Brown,E-commerce / Online,AZ,Southwest,Shannon Jones,2/10 Net 30,2020-03-09,250000,,
CUST0005,Wright and Sons,Regional Warehouse Distributor,MD,Southeast,Shannon Jones,Net 30,2023-07-16,10000,,
CUST0006,Taylor-White,Independent Jobber,DE,Southeast,Joshua Blair,Net 30,2022-04-14,25000,,
CUST0007,Baxter Inc,Regional Warehouse Distributor,MT,West,Jessica Holmes,Net 60,2021-12-14,10000,,
CUST0008,Garcia Pearson and Fernandez,Independent Jobber,WV,Southeast,Mark Perez,Net 45,2014-08-31,25000,,
CUST0009,House and Sons,Regional Warehouse Distributor,MD,Southeast,Timothy Duncan,Net 30,2017-03-30,50000,,
CUST0010,Tucker-Lewis,Regional Warehouse Distributor,IA,Midwest,Crystal Robinson,Net 45,2021-03-27,25000,,
CUST0011,Martin Inc,Regional Warehouse Distributor,AZ,Southwest,Timothy Duncan,Net 30,2021-01-20,10000,,
CUST0012,House-Glover,Independent Jobber,NE,Plains,Shannon Jones,Net 60,2019-04-08,250000,,
CUST0013,Horton-Cross,Regional Warehouse Distributor,AL,Southeast,Crystal Robinson,Net 30,2023-11-14,100000,,
CUST0014,Higgins Moore and Phillips,Regional Warehouse Distributor,AR,West,Mark Perez,Net 30,2015-05-30,500000,,
CUST0015,Fitzgerald Brown and Edwards,Independent Jobber,IL,Midwest,Jessica Holmes,Net 30,2015-04-08,100000,,
CUST0016,Woods Calhoun and Schmidt,Fleet / Commercial,MO,Midwest,Timothy Duncan,Net 60,2015-05-20,50000,,
CUST0017,Miller Lopez and Larson,Independent Jobber,SD,Plains,Joshua Blair,Net 30,2018-06-01,100000,,
CUST0018,Wilson-Zamora,Independent Jobber,MS,Southeast,Joshua Blair,Net 30,2018-08-08,10000,,
CUST0019,Wheeler Harvey and Barnes,Fleet / Commercial,ME,Northeast,Philip Cannon,Net 45,2024-05-05,10000,,
CUST0020,Mills Donovan and Harris,Regional Warehouse Distributor,SC,Southeast,Crystal Robinson,2/10 Net 30,2019-10-05,250000,,
CUST0021,Baker and Sons,Fleet / Commercial,DE,Southeast,Timothy Duncan,Net 30,2025-05-25,250000,,
CUST0022,Bryant-Hickman,Regional Warehouse Distributor,MD,Southeast,John Pierce,Net 30,2015-08-25,50000,,
CUST0023,Ellis PLC,E-commerce / Online,VA,Southeast,Crystal Robinson,Net 60,2016-02-12,25000,,
CUST0024,Medina PLC,E-commerce / Online,AR,West,John Pierce,Net 30,2018-12-04,500000,,
CUST0025,Mahoney Inc,Independent Jobber,MS,Southeast,Shannon Jones,Net 60,2018-07-27,10000,,
CUST0026,Mitchell-Kim,Independent Jobber,MN,Midwest,Joshua Blair,Net 45,2023-08-28,500000,,
CUST0027,Turner Riggs and Roman,National Retail Chain,MO,Midwest,Danny Morgan,Net 30,2023-05-31,25000,,
CUST0028,Contreras PLC,Regional Warehouse Distributor,ID,West,Joshua Blair,2/10 Net 30,2019-07-05,25000,,
CUST0029,Garcia Humphrey and Baker,Independent Jobber,IL,Midwest,Philip Cannon,Net 30,2016-03-27,50000,,
CUST0030,Tran Nelson and Jacobs,Regional Warehouse Distributor,VA,Southeast,Danny Morgan,Net 30,2020-03-31,25000,,
CUST0031,Watts LLC,Independent Jobber,OH,Midwest,Crystal Robinson,Net 30,2023-01-05,500000,,
CUST0032,King-Odonnell,Regional Warehouse Distributor,AL,Southeast,Jessica Holmes,Net 30,2015-04-12,500000,,
CUST0033,Walters LLC,Regional Warehouse Distributor,TX,Southwest,Eric Carney,Net 30,2015-03-01,100000,,
CUST0034,Cook and Sons,E-commerce / Online,KY,Southeast,Philip Cannon,Net 30,2025-04-02,100000,,
